fiscal_year,baseline_productivity_growth,impulse_response,baseline_real_gdp,baseline_nominal_gdp,cbo_revenue_change,cbo_gdp_scenario,cbo_gdp_baseline
2025,0.983,1.095609,23785.8,30441.1,-4.219,30111.4,30136.1
2026,1.015,0.040825,24220.5,31640.6,-11.04,31280.6,31341.3
2027,1.058,0.037559,24647.6,32841.0,-18.894,32437.7,32538.1
2028,1.105,0.035649,25077.7,34078.4,-27.509,33620.2,33764.5
2029,1.129,0.034294,25525.6,35378.4,-36.963,34854.7,35047.1
2030,1.126,0.033242,25990.7,36738.8,-47.412,36148.4,36393.7
2031,1.125,0.032383,26464.3,38151.3,-58.82,37489.0,37792.1
2032,1.121,0.031657,26952.0,39626.7,-71.374,38886.1,39252.4
2033,1.116,0.031028,27444.4,41154.2,-84.974,40332.8,40767.9
2034,1.114,0.030473,27937.8,42727.6,-99.661,41820.7,42330.4
2035,1.112,0.029976,28429.6,44345.4,-115.773,43346.0,43936.5
