row_num,label,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10
1,Target PCE,1.2349939084544252,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,CBO Post-Tax-Transfer,146730,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2027 PCE (2025$),21369.5820582241,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2027 Households,135.793,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,STAGE 1,1,2,3,4,5,6,7,8,9,10
7,Raw,-1.5484229359703248,-1.4442616430312634,-1.5284133811202403,-1.4856005989427121,-1.5310996831321424,-1.5650286875212052,-1.5960849098650505,-1.564192631545352,-1.5546790846843452,-1.4857521916199423
8,Final PCE Effect,-1.2486110614593369,-1.1646178968540102,-1.2324758370705062,-1.1979526379128989,-1.2346420064862154,-1.2620015406292167,-1.2870445323370125,-1.261327365172887,-1.2536558695056381,-1.1980748786064646
10,Scaled effect,-2.4459394453454606,-1.5096691904856405,-1.4569928273560624,-1.293643875113596,-1.3254078655140413,-1.306319162915388,-1.244768464478481,-1.1999025577202835,-1.1005327858172853,-0.7740256802115035
11,C effect,-919.6976908443467,-913.395150319527,-1076.1786120700083,-1113.5815841365345,-1338.0522565510453,-1520.3856841423328,-1702.843259406562,-1966.7002872314306,-2285.762574831069,-3871.227517523418
12,row_12,-469.4902452193253,-704.6287661335818,-910.343627535388,-1031.2096102418025,-1246.4204912280939,-1468.8057330921265,-1760.676920237033,-2067.3786178866203,-2603.7930947284303,-5992.0756593599435
14,scaling_factor,1.958928221,1.296278543,1.182167458,1.079878982,1.073515933,1.035116932,0.967152599,0.951301455,0.877858759,0.64605785
17,Decile,1,2,3,4,5,6,7,8,9,10
18,All 2025 Tariffs,-2.4459394453454606,-1.5096691904856405,-1.4569928273560624,-1.293643875113596,-1.3254078655140413,-1.306319162915388,-1.244768464478481,-1.1999025577202835,-1.1005327858172853,-0.7740256802115035
22,Decile,1,2,3,4,5,6,7,8,9,10
23,No Retaliation,-919.6976908443467,-913.395150319527,-1076.1786120700083,-1113.5815841365345,-1338.0522565510453,-1520.3856841423328,-1702.843259406562,-1966.7002872314306,-2285.762574831069,-3871.227517523418
26,CBO 2027 Post-Tax-Transfer Income,37601,60503,73863,86081,100954,116387,136800,163905,207696,500142
27,C Shares,0.04057104388471997,0.04620373700341779,0.05977285256542228,0.06717538948894537,0.07924851674200377,0.09095698616051061,0.10356695811366293,0.12390133023651377,0.15411829569047486,0.23451546542583393
82,row_82,0.01248611061459337,0.011646178968540102,0.012324758370705062,0.01197952637912899,0.012346420064862154,0.012620015406292167,0.012870445323370125,0.012613273651728868,0.012536558695056382,0.011980748786064645
