gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,48865,0,0,3472,0,11289,0
wht,0,698615080,323195,84132,0,63634550,1326398,205805
gro,1341279,566086148,10890852,338660,51487,68057039,115785764,122670239
v_f,397593168,3237240739,19705937136,2998452,11019443,494452984,3414429223,9541625018
osd,21219093,554685423,22388795,418497,240598,100497603,417013689,84724851
c_b,7977,14404650,923048,0,0,86796,3150650,456712
pfb,348871,147418,2037960,126165,107462,4086387,50144174,333193
ocr,274196390,1032395171,509159815,12530247,58915159,494106822,6102454416,4994753310
ctl,0,1796179459,1309007929,100531238,12195235,605929013,24141174,27507413
oap,204574959,858514495,92718503,28188945,5972988,206511013,1115705577,155428353
wol,23796,153507,9065,119073,0,11152712,965514,101739
frs,40528154,206025767,134122462,2191281,443135,148750769,135755025,67972040
fsh,15871504,1378346237,203208090,166406183,73991275,172957654,903961335,433522706
coa,9715039,196010516,2912,4347885,0,14178115,83000,136435023
oil,0,96442941514,10513729586,922611505,0,34667,41688416059,5814401817
gas,342050,4942330892,1620331,0,0,0,951680935,1659624
oxt,348720404,1434849922,485343375,55902449,35639179,415251253,2111789449,1825517288
cmt,219363,2777884912,1906424101,8929497,72174190,88075810,3267283095,4437544437
omt,8841921,1954366997,254342225,28665121,118515,766363870,711516802,322623157
vol,70876896,6204551131,631555483,19232994,67937703,2869591478,5536189278,524893538
mil,2169591,272553108,218627877,90015848,6367930,2312656332,990005380,228236334
pcr,56468571,26380521,11937168,682789,16010963,27828257,1320055441,6961680
sgr,2489868,359160192,424399494,347305,355886,17074568,1224841475,1106744809
ofd,4658439454,20681486330,10655238816,561833703,951264919,12495975135,27529353622,12026414385
b_t,192243387,1872869598,12929353411,1717360130,252909129,11501730153,2831962552,2513053361
tex,12871353614,1030875986,2641353318,339971120,509219092,2859462897,12964351721,1835592372
wap,19170148044,713329339,3269761100,147366674,96359243,3776704425,47509826864,11533465191
lea,12722595025,155505406,1024112706,77802713,18938993,6387062469,19442983005,381655540
lum,2134979555,11095208142,704178518,22623988,37787558,2904336890,5657741027,1142930840
ppp,5229981280,10275929625,2542581353,721212862,253955179,5084285745,5746570888,1325303074
p_c,419274271,19818371683,4904038423,2208207293,356673649,12771809918,26813667768,10211534405
chm,14053530640,24261690694,7977242399,4684922011,8312088668,41883752679,25043275409,15560660126
bph,10488190766,5353541096,1016334808,7542674854,7680015854,148837000000,35785412374,24265438730
rpp,19884291028,11344964165,11308432828,1000634212,3399099269,9341297807,23768571537,6396665674
nmm,6250002047,2700402219,4634365311,331151310,1101118417,5927870458,8117888546,1255847713
i_s,1531102448,9233649036,4407235481,562456191,1877085546,7881332235,13328175106,4224833829
nfm,1888479854,23081980564,7895742176,1218853380,1168525800,7685238340,16801480514,16814286772
fmp,20204838573,8419519640,9892346441,1379875572,2562825285,12770092848,17052694140,5195052221
ele,122654000000,7461777004,89776783476,4237357912,13030368134,35937144662,230960000000,35538388752
eeq,56936188138,9137498696,64145157528,2383262691,11079599952,26227563675,43406359653,16853984948
ome,33118163303,20596527778,49641307576,9636538170,31843320350,73804591058,37921853844,20618973272
mvh,14996132259,52285090600,134841000000,11226324327,51832187138,61297278928,12186792090,45426914417
otn,4211960943,15359480772,4316028776,6644255638,4914826735,28665629236,9573056967,2959435369
omf,52915251444,10341828943,26653280492,4229093772,3223638945,35503914881,71033169759,22622570101
ely,0,2289715638,0,0,0,0,0,0
