commodity,usa,china,row,canada,mexico,ftrow,japan,eu,uk
pdr,0,0.429,1.64,0.001,0,0.108,0,0.136,0.011
wht,0,0.124,13.7,705,2.71,0.21,0.002,7.79,0.589
gro,0,0.892,284,566,18.4,144,0.064,61.1,0.082
v_f,0,423,3522,2188,13368,7708,13.7,568,10.6
osd,0,18.5,504,506,21.6,87.4,0.646,52.2,1.4
c_b,0,0.041,1.61,0.001,0.313,0.149,0,0.272,0.082
pfb,0,0.038,75.2,0.064,1.42,0.931,0.035,5.09,0.198
ocr,0,280,5789,608,337,4148,38.8,533,25.6
ctl,0,0.233,42.9,965,728,12.6,0.599,432,19.7
oap,0,225,728,674,103,96.3,0.185,160,18.6
rmk,0,0.147,4.92,0.063,0.037,0.209,0.01,1.15,0.04
wol,0,0.267,1.94,0.913,0.085,2.27,0.008,4.05,0.889
frs,0,27.2,115,80,55.4,46.6,1.3,65.6,2.73
fsh,0,7.78,943,1322,121,258,41.6,97.3,310
coa,0,0.073,44.8,74.8,0.086,303,0,0.485,0.014
oil,0,35.7,72082,46120,11477,6352,0.038,76.9,215
gas,0,0.001,1004,17178,0.336,15.6,0,5.41,0.052
oxt,0,315,2646,1262,346,1298,52.3,525,45.2
cmt,0,119,1468,1370,1091,2434,23.1,42,6.29
omt,0,20.1,418,1463,76.5,232,0.363,747,35
vol,0,113,3028,3129,154,232,52.2,1502,14.6
mil,0,1.42,727,129,101,134,2.08,1285,70.7
pcr,0,3.42,725,8.14,1.87,2.62,3.19,24.6,2.78
sgr,0,6.04,606,200,608,683,0.211,18.4,0.047
ofd,0,7145,19112,12174,6185,6304,685,6904,403
b_t,0,97.2,3611,1190,5268,2221,155,11592,2166
tex,0,16252,10195,1436,2038,1764,626,2888,290
wap,0,37960,42812,932,4432,11764,86.5,3023,457
lea,0,21683,12454,148,797,679,14.4,4372,199
lum,0,4531,2934,4656,360,831,16.3,1906,16
ppp,0,5088,2924,9614,1748,1333,503,3926,921
p_c,0,2776,26509,8405,1640,5694,754,8052,1810
chm,0,12675,19087,18871,4983,7950,7082,29625,3775
bph,0,3518,25403,4132,497,6352,2199,49603,8295
rpp,0,18862,14762,9123,6607,5644,3316,8006,971
nmm,0,8906,4193,2341,3162,855,1236,5758,377
i_s,0,2254,15791,7177,3075,4438,2019,6990,742
nfm,0,2980,14948,17442,7103,10875,1167,5669,1338
fmp,0,19252,9750,7072,6572,3090,2935,9348,874
ele,0,151785,56997,7743,67436,26567,14635,30387,5466
eeq,0,52369,16150,5524,41185,8584,10128,16629,1901
ome,0,32333,18883,15935,23496,10189,24284,47345,5841
mvh,0,18366,9112,58783,91875,21930,53378,49855,9928
otn,0,5336,7591,9045,2570,4155,6800,24732,7121
omf,0,60206,34921,6842,18205,15992,2657,25858,5540
ely,0,8.51,71.5,4661,14.8,13.7,0.002,51.7,4.74
gdt,0,4.26,123,2.86,0.011,6.56,0.001,9.8,4.48
wtr,0,1.51,31.9,1.38,2.74,7.19,0.778,15.1,6.52
cns,0,170,1328,345,39,342,225,625,227
trd,0,10403,4486,1556,331,1823,338,4112,1453
afs,0,3497,33358,6502,14025,12898,2248,20712,4213
otp,0,234,2247,240,631,598,37,1246,151
wtp,0,401,1875,221,20.6,681,36.2,154,58.2
atp,0,5081,10575,4361,2851,6108,1450,11750,5037
whs,0,415,1438,453,193,479,114,777,504
cmn,0,3426,26631,7009,980,5461,1712,19170,6082
ofi,0,3668,8748,4219,372,3951,2691,8183,17146
ins,0,489,27373,874,438,868,434,9209,5751
rsa,0,30.7,3508,199,121,455,271,2349,122
obs,0,9478,37485,11303,2811,14650,6503,42257,23042
ros,0,179,825,253,88.3,211,104,567,158
osg,0,167,6474,331,114,3477,3717,5911,422
edu,0,967,3501,2202,202,1748,150,3197,3973
hht,0,402,830,160,287,505,9.55,600,115
dwe,0,0,0,0,0,0,0,0,0
