gtap_sector,domestic,imports,total,import_share
pdr,32.2,1.91,34.1,0.056012
wht,2055,16,2071,0.007726
gro,1971,149,2119,0.070316
v_f,33710,16556,50266,0.329368
osd,226,3.91,230,0.017000
c_b,389,0.123,389,0.000316
pfb,7155,17.8,7173,0.002482
ocr,237,6574,6811,0.965203
ctl,3488,22.3,3511,0.006351
oap,10813,609,11423,0.053313
rmk,2575,3.3,2578,0.001280
wol,494,5.49,499,0.011002
frs,545,47.7,593,0.080438
fsh,3418,1021,4439,0.230007
coa,16,0.142,16.2,0.008765
oil,0.044,0.06,0.104,0.576923
gas,9.92,51.3,61.2,0.838235
oxt,228,32.1,260,0.123462
cmt,69343,3652,72995,0.050031
omt,56714,1574,58288,0.027004
vol,8265,1530,9794,0.156218
mil,68036,1532,69568,0.022022
pcr,1255,220,1474,0.149254
sgr,22508,1280,23788,0.053809
ofd,241883,36747,278630,0.131885
b_t,168342,20373,188714,0.107957
tex,12828,13978,26806,0.521450
wap,12085,103717,115802,0.895641
lea,5422,40931,46353,0.883028
lum,4164,873,5036,0.173352
ppp,29155,4087,33242,0.122947
p_c,114518,22694,137212,0.165394
chm,60879,12719,73598,0.172817
bph,90583,87568,178151,0.491538
rpp,25589,16026,41615,0.385102
nmm,6767,4652,11419,0.407391
i_s,475,211,686,0.307580
nfm,40,73,113,0.646018
fmp,11783,6321,18103,0.349169
ele,13428,81802,95229,0.859003
eeq,19913,42095,62008,0.678864
ome,5864,4379,10243,0.427511
mvh,133327,104130,237456,0.438523
otn,12737,8971,21708,0.413258
omf,251158,98511,349669,0.281726
ely,146625,1439,148065,0.009719
gdt,15748,5.21,15753,0.000331
wtr,71475,11.7,71487,0.000164
cns,2089,5,2094,0.002388
trd,1933746,4902,1938649,0.002529
afs,837174,76110,913284,0.083337
otp,191297,1265,192562,0.006569
wtp,22351,233,22583,0.010317
atp,116842,30880,147722,0.209041
whs,4914,14.5,4928,0.002942
cmn,516266,19287,535553,0.036013
ofi,480342,3573,483915,0.007384
ins,477228,21800,499028,0.043685
rsa,533751,476,534228,0.000891
obs,317337,1693,319030,0.005307
ros,715448,1699,717146,0.002369
osg,70651,343,70995,0.004831
edu,368795,14443,383238,0.037687
hht,2467592,2950,2470542,0.001194
dwe,1582226,0,1582226,0.000000
